audio_path,audio_filename,subtitle,text_for_tts,original_english
\voice\codriver\detail_immediate,152.wav,immediata,immediata,immediate
\voice\codriver\detail_immediate_rushed,100.wav,immediata,immediata,immediate
\voice\codriver\detail_immediate_rushed,97.wav,immediata,immediata,immediate
\voice\codriver\detail_immediate_rushed,98.wav,immediata,immediata,immediate
\voice\codriver\detail_immediate_rushed,99.wav,immediata,immediata,immediate
\voice\codriver\detail_inside,153.wav,interno,interno,inside
\voice\codriver\detail_inside,154.wav,interno,interno,inside
\voice\codriver\detail_inside,155.wav,interno,interno,inside
\voice\codriver\detail_inside,156.wav,interno,interno,inside
\voice\codriver\detail_inside_rushed,101.wav,interno,interno,inside
\voice\codriver\detail_inside_rushed,102.wav,interno,interno,inside
\voice\codriver\detail_inside_rushed,103.wav,interno,interno,inside
\voice\codriver\detail_inside_rushed,104.wav,interno,interno,inside
\voice\codriver\detail_into,157.wav,in,in,into
\voice\codriver\detail_into,158.wav,in,in,into
\voice\codriver\detail_into,159.wav,in,in,into
\voice\codriver\detail_into,160.wav,in,in,into
\voice\codriver\detail_into_rushed,105.wav,in,in,into
\voice\codriver\detail_into_rushed,106.wav,in,in,into
\voice\codriver\detail_into_rushed,107.wav,in,in,into
\voice\codriver\detail_into_rushed,108.wav,in,in,into
\voice\codriver\detail_jump,161.wav,salto,salto,jump
\voice\codriver\detail_jump,162.wav,salto,salto,jump
\voice\codriver\detail_jump,163.wav,salto,salto,jump
\voice\codriver\detail_jump,164.wav,salto,salto,jump
\voice\codriver\detail_jump_bind,1.wav,salto bind,salto bind,jump bind
\voice\codriver\detail_jump_bind,2.wav,salto bind,salto bind,jump bind
\voice\codriver\detail_jump_bind,3.wav,salto bind,salto bind,jump bind
\voice\codriver\detail_jump_bind,4.wav,salto bind,salto bind,jump bind
\voice\codriver\detail_jump_bind_rushed,113.wav,salto bind,salto bind,jump bind
\voice\codriver\detail_jump_bind_rushed,114.wav,salto bind,salto bind,jump bind
\voice\codriver\detail_jump_bind_rushed,115.wav,salto bind,salto bind,jump bind
\voice\codriver\detail_jump_bind_rushed,116.wav,salto bind,salto bind,jump bind
\voice\codriver\detail_jump_flat,5.wav,salto pieno,salto pieno,jump flat
\voice\codriver\detail_jump_flat,6.wav,salto pieno,salto pieno,jump flat
\voice\codriver\detail_jump_flat,7.wav,salto pieno,salto pieno,jump flat
\voice\codriver\detail_jump_flat,8.wav,salto pieno,salto pieno,jump flat
\voice\codriver\detail_jump_flat_rushed,117.wav,salto pieno,salto pieno,jump flat
\voice\codriver\detail_jump_flat_rushed,118.wav,salto pieno,salto pieno,jump flat
\voice\codriver\detail_jump_flat_rushed,119.wav,salto pieno,salto pieno,jump flat
\voice\codriver\detail_jump_flat_rushed,120.wav,salto pieno,salto pieno,jump flat
\voice\codriver\detail_jump_rushed,109.wav,salto,salto,jump
\voice\codriver\detail_jump_rushed,110.wav,salto,salto,jump
\voice\codriver\detail_jump_rushed,111.wav,salto,salto,jump
\voice\codriver\detail_jump_rushed,112.wav,salto,salto,jump
\voice\codriver\detail_junction,10.wav,incrocio,incrocio,junk-shun
\voice\codriver\detail_junction,11.wav,incrocio,incrocio,junk-shun
\voice\codriver\detail_junction,12.wav,incrocio,incrocio,junk-shun
\voice\codriver\detail_junction,9.wav,incrocio,incrocio,junk-shun
\voice\codriver\detail_junction_rushed,121.wav,incrocio,incrocio,junk-shun
\voice\codriver\detail_junction_rushed,122.wav,incrocio,incrocio,junk-shun
\voice\codriver\detail_junction_rushed,123.wav,incrocio,incrocio,junk-shun
\voice\codriver\detail_junction_rushed,124.wav,incrocio,incrocio,junk-shun
\voice\codriver\detail_keep_in,13.wav,resta dentro,resta dentro,keep in
\voice\codriver\detail_keep_in,14.wav,resta dentro,resta dentro,keep in
\voice\codriver\detail_keep_in,15.wav,resta dentro,resta dentro,keep in
\voice\codriver\detail_keep_in,16.wav,resta dentro,resta dentro,keep in
\voice\codriver\detail_keep_in_rushed,125.wav,resta dentro,resta dentro,keep in
\voice\codriver\detail_keep_in_rushed,126.wav,resta dentro,resta dentro,keep in
\voice\codriver\detail_keep_in_rushed,127.wav,resta dentro,resta dentro,keep in
\voice\codriver\detail_keep_in_rushed,128.wav,resta dentro,resta dentro,keep in
\voice\codriver\detail_keep_left,17.wav,tieni sinistra,tieni sinistra,keep left
\voice\codriver\detail_keep_left,18.wav,tieni sinistra,tieni sinistra,keep left
\voice\codriver\detail_keep_left,19.wav,tieni sinistra,tieni sinistra,keep left
\voice\codriver\detail_keep_left,20.wav,tieni sinistra,tieni sinistra,keep left
\voice\codriver\detail_keep_left_rushed,129.wav,tieni sinistra,tieni sinistra,keep left
\voice\codriver\detail_keep_left_rushed,130.wav,tieni sinistra,tieni sinistra,keep left
\voice\codriver\detail_keep_left_rushed,131.wav,tieni sinistra,tieni sinistra,keep left
\voice\codriver\detail_keep_left_rushed,132.wav,tieni sinistra,tieni sinistra,keep left
\voice\codriver\detail_keep_middle,21.wav,resta al centro,resta al centro,keep middle
\voice\codriver\detail_keep_middle,22.wav,resta al centro,resta al centro,keep middle
\voice\codriver\detail_keep_middle,23.wav,resta al centro,resta al centro,keep middle
\voice\codriver\detail_keep_middle,24.wav,resta al centro,resta al centro,keep middle
\voice\codriver\detail_keep_middle_rushed,133.wav,resta al centro,resta al centro,keep middle
\voice\codriver\detail_keep_middle_rushed,134.wav,resta al centro,resta al centro,keep middle
\voice\codriver\detail_keep_middle_rushed,135.wav,resta al centro,resta al centro,keep middle
\voice\codriver\detail_keep_middle_rushed,136.wav,resta al centro,resta al centro,keep middle
\voice\codriver\detail_keep_out,25.wav,resta fuori,resta fuori,keep out
\voice\codriver\detail_keep_out,26.wav,resta fuori,resta fuori,keep out
\voice\codriver\detail_keep_out,27.wav,resta fuori,resta fuori,keep out
\voice\codriver\detail_keep_out,28.wav,resta fuori,resta fuori,keep out
\voice\codriver\detail_keep_out_rushed,137.wav,resta fuori,resta fuori,keep out
\voice\codriver\detail_keep_out_rushed,138.wav,resta fuori,resta fuori,keep out
\voice\codriver\detail_keep_out_rushed,139.wav,resta fuori,resta fuori,keep out
\voice\codriver\detail_keep_out_rushed,140.wav,resta fuori,resta fuori,keep out
\voice\codriver\detail_keep_right,29.wav,tieni destra,tieni destra,keep right
\voice\codriver\detail_keep_right,30.wav,tieni destra,tieni destra,keep right
\voice\codriver\detail_keep_right,31.wav,tieni destra,tieni destra,keep right
\voice\codriver\detail_keep_right,32.wav,tieni destra,tieni destra,keep right
\voice\codriver\detail_keep_right_rushed,141.wav,tieni destra,tieni destra,keep right
\voice\codriver\detail_keep_right_rushed,142.wav,tieni destra,tieni destra,keep right
\voice\codriver\detail_keep_right_rushed,143.wav,tieni destra,tieni destra,keep right
\voice\codriver\detail_keep_right_rushed,144.wav,tieni destra,tieni destra,keep right
\voice\codriver\detail_late,129.wav,ritardata,ritardata,late
\voice\codriver\detail_late,130.wav,ritardata,ritardata,late
\voice\codriver\detail_late,131.wav,ritardata,ritardata,late
\voice\codriver\detail_late,132.wav,ritardata,ritardata,late
\voice\codriver\detail_late_apex,33.wav,apice ritardato,apice ritardato,late apex
\voice\codriver\detail_late_apex,34.wav,apice ritardato,apice ritardato,late apex
\voice\codriver\detail_late_apex,35.wav,apice ritardato,apice ritardato,late apex
\voice\codriver\detail_late_apex,36.wav,apice ritardato,apice ritardato,late apex
\voice\codriver\detail_late_rushed,145.wav,ritardata,ritardata,late
\voice\codriver\detail_late_rushed,146.wav,ritardata,ritardata,late
\voice\codriver\detail_late_rushed,147.wav,ritardata,ritardata,late
\voice\codriver\detail_late_rushed,148.wav,ritardata,ritardata,late
\voice\codriver\detail_late_rushed,77.wav,ritardata,ritardata,late
\voice\codriver\detail_late_rushed,78.wav,ritardata,ritardata,late
\voice\codriver\detail_late_rushed,79.wav,ritardata,ritardata,late
\voice\codriver\detail_late_rushed,80.wav,ritardata,ritardata,late
\voice\codriver\detail_left_entry_chicane,37.wav,sinistra entry chicayne,sinistra entry chicayne,left entry chicayne
\voice\codriver\detail_left_entry_chicane,38.wav,sinistra entry chicayne,sinistra entry chicayne,left entry chicayne
\voice\codriver\detail_left_entry_chicane,39.wav,sinistra entry chicayne,sinistra entry chicayne,left entry chicayne
\voice\codriver\detail_left_entry_chicane,40.wav,sinistra entry chicayne,sinistra entry chicayne,left entry chicayne
\voice\codriver\detail_left_entry_chicane_rushed,149.wav,sinistra entry chicayne,sinistra entry chicayne,left entry chicayne
\voice\codriver\detail_left_entry_chicane_rushed,150.wav,sinistra entry chicayne,sinistra entry chicayne,left entry chicayne
\voice\codriver\detail_left_entry_chicane_rushed,151.wav,sinistra entry chicayne,sinistra entry chicayne,left entry chicayne
\voice\codriver\detail_left_entry_chicane_rushed,152.wav,sinistra entry chicayne,sinistra entry chicayne,left entry chicayne
\voice\codriver\detail_left_foot_braking,41.wav,sinistra foot frenata,sinistra foot frenata,left foot braking
\voice\codriver\detail_left_foot_braking,42.wav,sinistra foot frenata,sinistra foot frenata,left foot braking
\voice\codriver\detail_left_foot_braking,43.wav,sinistra foot frenata,sinistra foot frenata,left foot braking
\voice\codriver\detail_left_foot_braking,44.wav,sinistra foot frenata,sinistra foot frenata,left foot braking
\voice\codriver\detail_left_foot_braking_rushed,153.wav,sinistra foot frenata,sinistra foot frenata,left foot braking
\voice\codriver\detail_left_foot_braking_rushed,154.wav,sinistra foot frenata,sinistra foot frenata,left foot braking
\voice\codriver\detail_left_foot_braking_rushed,155.wav,sinistra foot frenata,sinistra foot frenata,left foot braking
\voice\codriver\detail_left_foot_braking_rushed,156.wav,sinistra foot frenata,sinistra foot frenata,left foot braking
\voice\codriver\detail_logs_inside,1.wav,tronchi interno,tronchi interno,logs inside
\voice\codriver\detail_logs_inside,2.wav,tronchi interno,tronchi interno,logs inside
\voice\codriver\detail_logs_inside,3.wav,tronchi interno,tronchi interno,logs inside
\voice\codriver\detail_logs_inside,4.wav,tronchi interno,tronchi interno,logs inside
\voice\codriver\detail_logs_inside,5.wav,tronchi interno,tronchi interno,logs inside
\voice\codriver\detail_logs_inside_rushed,1.wav,tronchi interno,tronchi interno,logs inside
\voice\codriver\detail_logs_inside_rushed,2.wav,tronchi interno,tronchi interno,logs inside
\voice\codriver\detail_logs_inside_rushed,3.wav,tronchi interno,tronchi interno,logs inside
\voice\codriver\detail_logs_inside_rushed,4.wav,tronchi interno,tronchi interno,logs inside
\voice\codriver\detail_logs_inside_rushed,5.wav,tronchi interno,tronchi interno,logs inside
\voice\codriver\detail_logs_outside,1.wav,tronchi esterno,tronchi esterno,logs outside
\voice\codriver\detail_logs_outside,2.wav,tronchi esterno,tronchi esterno,logs outside
\voice\codriver\detail_logs_outside,3.wav,tronchi esterno,tronchi esterno,logs outside
\voice\codriver\detail_logs_outside,4.wav,tronchi esterno,tronchi esterno,logs outside
\voice\codriver\detail_logs_outside,5.wav,tronchi esterno,tronchi esterno,logs outside
\voice\codriver\detail_logs_outside_rushed,1.wav,tronchi esterno,tronchi esterno,logs outside
\voice\codriver\detail_logs_outside_rushed,2.wav,tronchi esterno,tronchi esterno,logs outside
\voice\codriver\detail_logs_outside_rushed,3.wav,tronchi esterno,tronchi esterno,logs outside
\voice\codriver\detail_logs_outside_rushed,4.wav,tronchi esterno,tronchi esterno,logs outside
\voice\codriver\detail_logs_outside_rushed,5.wav,tronchi esterno,tronchi esterno,logs outside
\voice\codriver\detail_long,45.wav,lunga,lunga,long
\voice\codriver\detail_long,46.wav,lunga,lunga,long
\voice\codriver\detail_long,47.wav,lunga,lunga,long
\voice\codriver\detail_long,48.wav,lunga,lunga,long
\voice\codriver\detail_long_rushed,157.wav,lunga,lunga,long
\voice\codriver\detail_long_rushed,158.wav,lunga,lunga,long
\voice\codriver\detail_long_rushed,159.wav,lunga,lunga,long
\voice\codriver\detail_long_rushed,160.wav,lunga,lunga,long
\voice\codriver\detail_longlong,49.wav,lunga lunga,lunga lunga,long long
\voice\codriver\detail_longlong,50.wav,lunga lunga,lunga lunga,long long
\voice\codriver\detail_longlong,51.wav,lunga lunga,lunga lunga,long long
\voice\codriver\detail_longlong,52.wav,lunga lunga,lunga lunga,long long
\voice\codriver\detail_longlong_rushed,161.wav,lunga lunga,lunga lunga,long long
\voice\codriver\detail_longlong_rushed,162.wav,lunga lunga,lunga lunga,long long
\voice\codriver\detail_longlong_rushed,163.wav,lunga lunga,lunga lunga,long long
\voice\codriver\detail_longlong_rushed,164.wav,lunga lunga,lunga lunga,long long
\voice\codriver\detail_loose_gravel,13.wav,su ghiaia sciolta,su ghiaia sciolta,onto loose gravel
\voice\codriver\detail_loose_gravel,14.wav,su ghiaia sciolta,su ghiaia sciolta,onto loose gravel
\voice\codriver\detail_loose_gravel,15.wav,su ghiaia sciolta,su ghiaia sciolta,onto loose gravel
\voice\codriver\detail_maybe,53.wav,forse,forse,maybe
\voice\codriver\detail_maybe,54.wav,forse,forse,maybe
\voice\codriver\detail_maybe,55.wav,forse,forse,maybe
\voice\codriver\detail_maybe,56.wav,forse,forse,maybe
\voice\codriver\detail_maybe_rushed,165.wav,forse,forse,maybe
\voice\codriver\detail_maybe_rushed,166.wav,forse,forse,maybe
\voice\codriver\detail_maybe_rushed,167.wav,forse,forse,maybe
\voice\codriver\detail_maybe_rushed,168.wav,forse,forse,maybe
\voice\codriver\detail_minus,57.wav,meno,meno,minus
\voice\codriver\detail_minus,58.wav,meno,meno,minus
\voice\codriver\detail_minus,59.wav,meno,meno,minus
\voice\codriver\detail_minus,60.wav,meno,meno,minus
\voice\codriver\detail_minus_rushed,169.wav,meno,meno,minus
\voice\codriver\detail_minus_rushed,170.wav,meno,meno,minus
\voice\codriver\detail_minus_rushed,171.wav,meno,meno,minus
\voice\codriver\detail_minus_rushed,172.wav,meno,meno,minus
\voice\codriver\detail_narrows,61.wav,si stringe,si stringe,narrows
\voice\codriver\detail_narrows,62.wav,si stringe,si stringe,narrows
\voice\codriver\detail_narrows,63.wav,si stringe,si stringe,narrows
\voice\codriver\detail_narrows,64.wav,si stringe,si stringe,narrows
\voice\codriver\detail_narrows_rushed,173.wav,si stringe,si stringe,narrows
\voice\codriver\detail_narrows_rushed,174.wav,si stringe,si stringe,narrows
\voice\codriver\detail_narrows_rushed,175.wav,si stringe,si stringe,narrows
\voice\codriver\detail_narrows_rushed,176.wav,si stringe,si stringe,narrows
\voice\codriver\detail_onto,65.wav,su,su,onto
\voice\codriver\detail_onto,66.wav,su,su,onto
\voice\codriver\detail_onto,67.wav,su,su,onto
\voice\codriver\detail_onto,68.wav,su,su,onto
\voice\codriver\detail_onto_concrete,69.wav,su cemento,su cemento,onto concrete
\voice\codriver\detail_onto_concrete,70.wav,su cemento,su cemento,onto concrete
\voice\codriver\detail_onto_concrete,71.wav,su cemento,su cemento,onto concrete
\voice\codriver\detail_onto_concrete,72.wav,su cemento,su cemento,onto concrete
\voice\codriver\detail_onto_concrete_rushed,181.wav,su cemento,su cemento,onto concrete
\voice\codriver\detail_onto_concrete_rushed,182.wav,su cemento,su cemento,onto concrete
\voice\codriver\detail_onto_concrete_rushed,183.wav,su cemento,su cemento,onto concrete
\voice\codriver\detail_onto_concrete_rushed,184.wav,su cemento,su cemento,onto concrete
\voice\codriver\detail_onto_gravel,73.wav,su ghiaia,su ghiaia,onto gravel
\voice\codriver\detail_onto_gravel,74.wav,su ghiaia,su ghiaia,onto gravel
\voice\codriver\detail_onto_gravel,75.wav,su ghiaia,su ghiaia,onto gravel
\voice\codriver\detail_onto_gravel,76.wav,su ghiaia,su ghiaia,onto gravel
\voice\codriver\detail_onto_gravel_rushed,185.wav,su ghiaia,su ghiaia,onto gravel
\voice\codriver\detail_onto_gravel_rushed,186.wav,su ghiaia,su ghiaia,onto gravel
\voice\codriver\detail_onto_gravel_rushed,187.wav,su ghiaia,su ghiaia,onto gravel
\voice\codriver\detail_onto_gravel_rushed,188.wav,su ghiaia,su ghiaia,onto gravel
\voice\codriver\detail_onto_rushed,177.wav,su,su,onto
\voice\codriver\detail_onto_rushed,178.wav,su,su,onto
\voice\codriver\detail_onto_rushed,179.wav,su,su,onto
\voice\codriver\detail_onto_rushed,180.wav,su,su,onto
\voice\codriver\detail_onto_snow,77.wav,su neve,su neve,onto snow
\voice\codriver\detail_onto_snow,78.wav,su neve,su neve,onto snow
\voice\codriver\detail_onto_snow,79.wav,su neve,su neve,onto snow
\voice\codriver\detail_onto_snow,80.wav,su neve,su neve,onto snow
\voice\codriver\detail_onto_snow_rushed,189.wav,su neve,su neve,onto snow
\voice\codriver\detail_onto_snow_rushed,190.wav,su neve,su neve,onto snow
\voice\codriver\detail_onto_snow_rushed,191.wav,su neve,su neve,onto snow
\voice\codriver\detail_onto_snow_rushed,192.wav,su neve,su neve,onto snow
\voice\codriver\detail_onto_tarmac,81.wav,su asfalto,su asfalto,onto tarmac
\voice\codriver\detail_onto_tarmac,82.wav,su asfalto,su asfalto,onto tarmac
\voice\codriver\detail_onto_tarmac,83.wav,su asfalto,su asfalto,onto tarmac
\voice\codriver\detail_onto_tarmac,84.wav,su asfalto,su asfalto,onto tarmac
\voice\codriver\detail_onto_tarmac_rushed,193.wav,su asfalto,su asfalto,onto tarmac
\voice\codriver\detail_onto_tarmac_rushed,194.wav,su asfalto,su asfalto,onto tarmac
\voice\codriver\detail_onto_tarmac_rushed,195.wav,su asfalto,su asfalto,onto tarmac
\voice\codriver\detail_onto_tarmac_rushed,196.wav,su asfalto,su asfalto,onto tarmac
\voice\codriver\detail_opens,85.wav,si apre,si apre,opens
\voice\codriver\detail_opens,86.wav,si apre,si apre,opens
\voice\codriver\detail_opens,87.wav,si apre,si apre,opens
\voice\codriver\detail_opens,88.wav,si apre,si apre,opens
\voice\codriver\detail_opens_rushed,197.wav,si apre,si apre,opens
\voice\codriver\detail_opens_rushed,198.wav,si apre,si apre,opens
\voice\codriver\detail_opens_rushed,199.wav,si apre,si apre,opens
\voice\codriver\detail_opens_rushed,200.wav,si apre,si apre,opens
\voice\codriver\detail_opens_tightens,89.wav,si apre si chiude,si apre si chiude,opens tightens
\voice\codriver\detail_opens_tightens,90.wav,si apre si chiude,si apre si chiude,opens tightens
\voice\codriver\detail_opens_tightens,91.wav,si apre si chiude,si apre si chiude,opens tightens
\voice\codriver\detail_opens_tightens,92.wav,si apre si chiude,si apre si chiude,opens tightens
\voice\codriver\detail_opens_tightens_rushed,201.wav,si apre si chiude,si apre si chiude,opens tightens
\voice\codriver\detail_opens_tightens_rushed,202.wav,si apre si chiude,si apre si chiude,opens tightens
\voice\codriver\detail_opens_tightens_rushed,203.wav,si apre si chiude,si apre si chiude,opens tightens
\voice\codriver\detail_opens_tightens_rushed,204.wav,si apre si chiude,si apre si chiude,opens tightens
\voice\codriver\detail_outside,93.wav,esterno,esterno,outside
\voice\codriver\detail_outside,94.wav,esterno,esterno,outside
\voice\codriver\detail_outside,95.wav,esterno,esterno,outside
\voice\codriver\detail_outside,96.wav,esterno,esterno,outside
\voice\codriver\detail_outside_rushed,205.wav,esterno,esterno,outside
\voice\codriver\detail_outside_rushed,206.wav,esterno,esterno,outside
\voice\codriver\detail_outside_rushed,207.wav,esterno,esterno,outside
\voice\codriver\detail_outside_rushed,208.wav,esterno,esterno,outside
\voice\codriver\detail_over_bridge,100.wav,oltre ponte,oltre ponte,over bridge
\voice\codriver\detail_over_bridge,97.wav,oltre ponte,oltre ponte,over bridge
\voice\codriver\detail_over_bridge,98.wav,oltre ponte,oltre ponte,over bridge
\voice\codriver\detail_over_bridge,99.wav,oltre ponte,oltre ponte,over bridge
\voice\codriver\detail_over_bridge_rushed,209.wav,oltre ponte,oltre ponte,over bridge
\voice\codriver\detail_over_bridge_rushed,210.wav,oltre ponte,oltre ponte,over bridge
\voice\codriver\detail_over_bridge_rushed,211.wav,oltre ponte,oltre ponte,over bridge
\voice\codriver\detail_over_bridge_rushed,212.wav,oltre ponte,oltre ponte,over bridge
\voice\codriver\detail_over_crest,101.wav,oltre dosso,oltre dosso,over crest
\voice\codriver\detail_over_crest,102.wav,oltre dosso,oltre dosso,over crest
\voice\codriver\detail_over_crest,103.wav,oltre dosso,oltre dosso,over crest
\voice\codriver\detail_over_crest,104.wav,oltre dosso,oltre dosso,over crest
\voice\codriver\detail_over_crest_rushed,213.wav,oltre dosso,oltre dosso,over crest
\voice\codriver\detail_over_crest_rushed,214.wav,oltre dosso,oltre dosso,over crest
\voice\codriver\detail_over_crest_rushed,215.wav,oltre dosso,oltre dosso,over crest
\voice\codriver\detail_over_crest_rushed,216.wav,oltre dosso,oltre dosso,over crest
\voice\codriver\detail_over_jump,105.wav,oltre salto,oltre salto,over jump
\voice\codriver\detail_over_jump,106.wav,oltre salto,oltre salto,over jump
\voice\codriver\detail_over_jump,107.wav,oltre salto,oltre salto,over jump
\voice\codriver\detail_over_jump,108.wav,oltre salto,oltre salto,over jump
\voice\codriver\detail_over_jump_rushed,217.wav,oltre salto,oltre salto,over jump
\voice\codriver\detail_over_jump_rushed,218.wav,oltre salto,oltre salto,over jump
\voice\codriver\detail_over_jump_rushed,219.wav,oltre salto,oltre salto,over jump
\voice\codriver\detail_over_jump_rushed,220.wav,oltre salto,oltre salto,over jump
\voice\codriver\detail_over_rails,109.wav,oltre ringhiere,oltre ringhiere,over rails
\voice\codriver\detail_over_rails,110.wav,oltre ringhiere,oltre ringhiere,over rails
\voice\codriver\detail_over_rails,111.wav,oltre ringhiere,oltre ringhiere,over rails
\voice\codriver\detail_over_rails,112.wav,oltre ringhiere,oltre ringhiere,over rails
\voice\codriver\detail_over_rails_rushed,221.wav,oltre ringhiere,oltre ringhiere,over rails
\voice\codriver\detail_over_rails_rushed,222.wav,oltre ringhiere,oltre ringhiere,over rails
\voice\codriver\detail_over_rails_rushed,223.wav,oltre ringhiere,oltre ringhiere,over rails
\voice\codriver\detail_over_rails_rushed,224.wav,oltre ringhiere,oltre ringhiere,over rails
\voice\codriver\detail_over_railway,113.wav,oltre railway,oltre railway,over railway
\voice\codriver\detail_over_railway,114.wav,oltre railway,oltre railway,over railway
\voice\codriver\detail_over_railway,115.wav,oltre railway,oltre railway,over railway
\voice\codriver\detail_over_railway,116.wav,oltre railway,oltre railway,over railway
\voice\codriver\detail_over_railway_rushed,225.wav,oltre railway,oltre railway,over railway
\voice\codriver\detail_over_railway_rushed,226.wav,oltre railway,oltre railway,over railway
\voice\codriver\detail_over_railway_rushed,227.wav,oltre railway,oltre railway,over railway
\voice\codriver\detail_over_railway_rushed,228.wav,oltre railway,oltre railway,over railway
\voice\codriver\detail_plus,117.wav,piu',piu',plus
\voice\codriver\detail_plus,118.wav,piu',piu',plus
\voice\codriver\detail_plus,119.wav,piu',piu',plus
\voice\codriver\detail_plus,120.wav,piu',piu',plus
\voice\codriver\detail_puddle,121.wav,pozzanghera,pozzanghera,puddle
\voice\codriver\detail_puddle,122.wav,pozzanghera,pozzanghera,puddle
\voice\codriver\detail_puddle,123.wav,pozzanghera,pozzanghera,puddle
\voice\codriver\detail_puddle,124.wav,pozzanghera,pozzanghera,puddle
\voice\codriver\detail_rails,125.wav,ringhiere,ringhiere,rails
\voice\codriver\detail_rails,126.wav,ringhiere,ringhiere,rails
\voice\codriver\detail_rails,127.wav,ringhiere,ringhiere,rails
\voice\codriver\detail_rails,128.wav,ringhiere,ringhiere,rails
\voice\codriver\detail_right_entry_chicane,129.wav,destra entry chicayne,destra entry chicayne,right entry chicayne
\voice\codriver\detail_right_entry_chicane,130.wav,destra entry chicayne,destra entry chicayne,right entry chicayne
\voice\codriver\detail_right_entry_chicane,131.wav,destra entry chicayne,destra entry chicayne,right entry chicayne
\voice\codriver\detail_right_entry_chicane,132.wav,destra entry chicayne,destra entry chicayne,right entry chicayne
\voice\codriver\detail_right_entry_chicane_rushed,229.wav,destra entry chicayne,destra entry chicayne,right entry chicayne
\voice\codriver\detail_right_entry_chicane_rushed,230.wav,destra entry chicayne,destra entry chicayne,right entry chicayne
\voice\codriver\detail_right_entry_chicane_rushed,231.wav,destra entry chicayne,destra entry chicayne,right entry chicayne
\voice\codriver\detail_right_entry_chicane_rushed,232.wav,destra entry chicayne,destra entry chicayne,right entry chicayne
\voice\codriver\detail_rocks_inside,1.wav,sassi interno,sassi interno,rocks inside
\voice\codriver\detail_rocks_inside,2.wav,sassi interno,sassi interno,rocks inside
\voice\codriver\detail_rocks_inside,3.wav,sassi interno,sassi interno,rocks inside
\voice\codriver\detail_rocks_inside,4.wav,sassi interno,sassi interno,rocks inside
\voice\codriver\detail_rocks_inside,5.wav,sassi interno,sassi interno,rocks inside
\voice\codriver\detail_rocks_inside_rushed,1.wav,sassi interno,sassi interno,rocks inside
\voice\codriver\detail_rocks_inside_rushed,2.wav,sassi interno,sassi interno,rocks inside
\voice\codriver\detail_rocks_inside_rushed,3.wav,sassi interno,sassi interno,rocks inside
\voice\codriver\detail_rocks_inside_rushed,4.wav,sassi interno,sassi interno,rocks inside
\voice\codriver\detail_rocks_inside_rushed,5.wav,sassi interno,sassi interno,rocks inside
\voice\codriver\detail_rocks_outside,1.wav,sassi esterno,sassi esterno,rocks outside
\voice\codriver\detail_rocks_outside,2.wav,sassi esterno,sassi esterno,rocks outside
\voice\codriver\detail_rocks_outside,3.wav,sassi esterno,sassi esterno,rocks outside
\voice\codriver\detail_rocks_outside,4.wav,sassi esterno,sassi esterno,rocks outside
\voice\codriver\detail_rocks_outside,5.wav,sassi esterno,sassi esterno,rocks outside
\voice\codriver\detail_rocks_outside_rushed,1.wav,sassi esterno,sassi esterno,rocks outside
\voice\codriver\detail_rocks_outside_rushed,2.wav,sassi esterno,sassi esterno,rocks outside
\voice\codriver\detail_rocks_outside_rushed,3.wav,sassi esterno,sassi esterno,rocks outside
\voice\codriver\detail_rocks_outside_rushed,4.wav,sassi esterno,sassi esterno,rocks outside
\voice\codriver\detail_rocks_outside_rushed,5.wav,sassi esterno,sassi esterno,rocks outside
\voice\codriver\detail_round,137.wav,tonda,tonda,round
\voice\codriver\detail_round,138.wav,tonda,tonda,round
\voice\codriver\detail_round,139.wav,tonda,tonda,round
\voice\codriver\detail_round,140.wav,tonda,tonda,round
\voice\codriver\detail_round_rushed,237.wav,tonda,tonda,round
\voice\codriver\detail_round_rushed,238.wav,tonda,tonda,round
\voice\codriver\detail_round_rushed,239.wav,tonda,tonda,round
\voice\codriver\detail_round_rushed,240.wav,tonda,tonda,round
\voice\codriver\detail_ruts,141.wav,solchi,solchi,ruts
\voice\codriver\detail_ruts,142.wav,solchi,solchi,ruts
\voice\codriver\detail_ruts,143.wav,solchi,solchi,ruts
\voice\codriver\detail_ruts,144.wav,solchi,solchi,ruts
\voice\codriver\detail_ruts_rushed,241.wav,solchi,solchi,ruts
\voice\codriver\detail_ruts_rushed,242.wav,solchi,solchi,ruts
\voice\codriver\detail_ruts_rushed,243.wav,solchi,solchi,ruts
\voice\codriver\detail_ruts_rushed,244.wav,solchi,solchi,ruts
\voice\codriver\detail_sharp,145.wav,secca,secca,sharp
\voice\codriver\detail_sharp,146.wav,secca,secca,sharp
\voice\codriver\detail_sharp,147.wav,secca,secca,sharp
\voice\codriver\detail_sharp,148.wav,secca,secca,sharp
\voice\codriver\detail_sharp_rushed,245.wav,secca,secca,sharp
\voice\codriver\detail_sharp_rushed,246.wav,secca,secca,sharp
\voice\codriver\detail_sharp_rushed,247.wav,secca,secca,sharp
\voice\codriver\detail_sharp_rushed,248.wav,secca,secca,sharp
\voice\codriver\detail_short,149.wav,corta,corta,short
\voice\codriver\detail_short,150.wav,corta,corta,short
\voice\codriver\detail_short,151.wav,corta,corta,short
\voice\codriver\detail_short,152.wav,corta,corta,short
\voice\codriver\detail_short_rushed,249.wav,corta,corta,short
\voice\codriver\detail_short_rushed,250.wav,corta,corta,short
